symbol,close,rsi,sma,signal
VOLV-A.ST,292.6000061035156,27.96937957032246,313.8199996948242,AVVAKTA
ATCO-B.ST,141.5500030517578,22.60002282713451,152.2025001525879,AVVAKTA
SCA-B.ST,133.89999389648438,26.737912497694865,140.2599983215332,AVVAKTA
ASSA-B.ST,299.0,16.935459392322542,313.5949996948242,AVVAKTA
NCC-B.ST,192.3000030517578,52.91668759453303,192.46500091552736,AVVAKTA
PEAB-B.ST,78.4000015258789,51.98240195205237,79.14249992370605,AVVAKTA
LUMI.ST,82.4000015258789,43.57935097727485,87.8330078125,AVVAKTA
EPI-B.ST,176.5,35.96836061421179,184.39999923706054,AVVAKTA
BEIJ-B.ST,144.25,32.60233878991491,153.3625,AVVAKTA
INDU-C.ST,369.3999938964844,28.41408729238465,386.4550018310547,AVVAKTA
HOLM-B.ST,393.0,28.604557906728175,408.93485565185546,AVVAKTA
SKF-A.ST,203.5,23.157894736842096,223.625,AVVAKTA
SSAB-B.ST,63.439998626708984,51.189420886962466,66.83400039672851,AVVAKTA
BURE.ST,327.20001220703125,48.84617077529366,333.51000213623047,AVVAKTA
LATO-B.ST,275.0,35.43306518986175,285.5699996948242,AVVAKTA
RATO-B.ST,33.02000045776367,43.579413679756556,34.067856788635254,AVVAKTA
SAAB-B.ST,403.6000061035156,55.531136530248276,389.2824996948242,AVVAKTA
SECU-B.ST,142.3000030517578,34.22054820271107,145.9125,AVVAKTA
TREL-B.ST,368.3999938964844,18.51852042134813,402.44999542236326,AVVAKTA
NIBE-B.ST,37.41999816894531,30.620168792841383,42.18199977874756,AVVAKTA
HUSQ-B.ST,47.72999954223633,18.10614856671053,52.61999988555908,AVVAKTA
MTRS.ST,104.30000305175781,25.000014597048477,120.78500022888184,AVVAKTA
VBG-B.ST,281.5,31.617647058823536,301.225,AVVAKTA
OEM-B.ST,143.60000610351562,69.62964093243635,138.89999923706054,AVVAKTA
BETS-B.ST,155.74000549316406,55.208338300391794,157.2659996032715,AVVAKTA
KINV-A.ST,73.54000091552734,36.3993678155749,77.31499977111817,AVVAKTA
LAGR-B.ST,211.0,45.945941301807686,218.3400001525879,AVVAKTA
INWI.ST,202.8000030517578,51.538466504336725,205.30999832153321,AVVAKTA
EWRK.ST,138.0,41.93548651730559,139.07000045776368,AVVAKTA
FMM-B.ST,51.79999923706055,61.481475830078125,49.33500003814697,AVVAKTA
AAK.ST,280.20001220703125,46.61021770952408,283.01999816894534,AVVAKTA
BILL.ST,107.30000305175781,35.44973075091029,111.55500030517578,AVVAKTA
DUST.ST,4.130000114440918,56.07029000396666,3.9635000348091127,AVVAKTA
FING-B.ST,0.012199999764561653,47.82609047759035,0.012469999911263584,AVVAKTA
MIDS.ST,0.7080000042915344,52.08332729698305,0.7187999993562698,AVVAKTA
NGS.ST,3.0899999141693115,39.02438031571248,3.1300000071525576,AVVAKTA
ORX.ST,14.460000038146973,46.01226670816807,15.066000032424927,AVVAKTA
SDIP-B.ST,186.60000610351562,38.524590847388666,196.15500030517578,AVVAKTA
SOBI.ST,285.79998779296875,56.24995742535813,291.0599990844727,AVVAKTA
STIL.ST,225.0,39.583333333333336,239.15,AVVAKTA
VICO.ST,7.239999771118164,49.473671794259175,7.396000003814697,AVVAKTA
WNT.ST,0.5099999904632568,41.33663421114946,0.6413999944925308,AVVAKTA
BMAX.ST,53.0,65.18577543267384,50.8935001373291,AVVAKTA
CLAS-B.ST,243.1999969482422,77.29258369348082,231.1,AVVAKTA
DUNI.ST,99.9000015258789,53.68423757793031,100.82999992370605,AVVAKTA
ELON.ST,23.0,42.66666225857093,24.185000133514404,AVVAKTA
CATE.ST,437.0,67.17557251908397,422.825,AVVAKTA
EQT.ST,315.29998779296875,55.698009661298116,314.31499938964845,AVVAKTA
HANZA.ST,72.9000015258789,35.953168254253384,79.73249969482421,AVVAKTA
HUM.ST,44.400001525878906,51.18111466081627,44.734999656677246,AVVAKTA
LINC.ST,66.80000305175781,31.4487652513737,70.52500114440917,AVVAKTA
LUMI.ST,82.4000015258789,43.57935097727485,87.8330078125,AVVAKTA
MANG.ST,1760.0,88.0,1663.0,AVVAKTA
NAXS.ST,57.0,80.55554672524343,55.41999988555908,AVVAKTA
NICA.ST,1.274999976158142,18.26087136800423,1.595249992609024,AVVAKTA
NMAN.ST,205.5,29.113924050632903,216.45,AVVAKTA
ODIN.ST,0.46799999475479126,14.300366872881597,0.8336250901222229,AVVAKTA
PROF-B.ST,121.0,66.66666666666666,115.875,AVVAKTA
DIOS.ST,67.19999694824219,61.111079714434666,66.5125,AVVAKTA
K2A-B.ST,6.039999961853027,45.36083158390719,6.290999984741211,AVVAKTA
KFAST-B.ST,12.84000015258789,42.142865171237325,13.437000036239624,AVVAKTA
NP3.ST,242.0,66.26506024096386,234.075,AVVAKTA
PLAZ-B.ST,76.80000305175781,62.000875180537605,74.51765365600586,AVVAKTA
SBB-B.ST,3.4570000171661377,51.79747138614067,3.533650016784668,AVVAKTA
WIHL.ST,98.5999984741211,63.05970744105436,96.17000007629395,AVVAKTA
WALL-B.ST,43.63999938964844,61.03897310265134,43.13899955749512,AVVAKTA
NYF.ST,88.4000015258789,67.39925572930815,85.53750076293946,AVVAKTA
ALIG.ST,136.0,59.060386876630204,137.35,AVVAKTA
ANOT.ST,0.049400001764297485,55.30303153239312,0.048669999837875365,AVVAKTA
AXIC-A.ST,1.2350000143051147,55.1020492568029,1.2522499918937684,AVVAKTA
B3.ST,60.400001525878906,47.09302145058833,62.194999885559085,AVVAKTA
