symbol,close,rsi,sma,signal
VOLV-A.ST,292.20001220703125,27.58623108803262,313.8,AVVAKTA
ATCO-B.ST,141.10000610351562,21.181296654256613,152.18000030517578,AVVAKTA
SCA-B.ST,132.10000610351562,19.47671169197085,140.16999893188478,AVVAKTA
ASSA-B.ST,300.1000061035156,17.808219178082197,313.65,AVVAKTA
NCC-B.ST,190.5,49.099112102704105,192.37500076293946,AVVAKTA
PEAB-B.ST,77.30000305175781,46.829293345818265,79.0875,AVVAKTA
LUMI.ST,81.94999694824219,42.6759171205519,87.81050758361816,AVVAKTA
EPI-B.ST,176.89999389648438,36.964947508540774,184.41999893188478,AVVAKTA
BEIJ-B.ST,142.0,27.85602190007613,153.25,AVVAKTA
INDU-C.ST,369.29998779296875,28.256051307270994,386.4500015258789,AVVAKTA
HOLM-B.ST,385.6000061035156,22.06555023923444,408.5648559570312,AVVAKTA
SKF-A.ST,203.5,23.157894736842096,223.625,AVVAKTA
SSAB-B.ST,62.2599983215332,48.51300373900594,66.77500038146972,AVVAKTA
BURE.ST,325.3999938964844,47.01194928484235,333.4200012207031,AVVAKTA
LATO-B.ST,274.0,33.692716829002066,285.5199996948242,AVVAKTA
RATO-B.ST,32.279998779296875,37.629312383490415,34.030856704711915,AVVAKTA
SAAB-B.ST,394.6000061035156,52.39215868370896,388.8324996948242,AVVAKTA
SECU-B.ST,143.64999389648438,40.34480690245204,145.97999954223633,AVVAKTA
TREL-B.ST,373.0,21.328688117887467,402.67999572753905,AVVAKTA
NIBE-B.ST,38.040000915527344,32.480021679674266,42.21299991607666,AVVAKTA
HUSQ-B.ST,47.279998779296875,14.775165759553289,52.59749984741211,AVVAKTA
MTRS.ST,102.9000015258789,22.222235677937988,120.71500015258789,AVVAKTA
VBG-B.ST,280.0,30.075187969924812,301.15,AVVAKTA
OEM-B.ST,140.39999389648438,65.54621363854346,138.739998626709,AVVAKTA
BETS-B.ST,153.33999633789062,49.05658068709284,157.1459991455078,AVVAKTA
KINV-A.ST,74.5,39.88673189099102,77.3629997253418,AVVAKTA
LAGR-B.ST,209.60000610351562,44.18605063785242,218.27000045776367,AVVAKTA
INWI.ST,201.60000610351562,49.193561287988516,205.2499984741211,AVVAKTA
EWRK.ST,135.1999969482422,31.645563507936984,138.93000030517578,AVVAKTA
FMM-B.ST,50.79999923706055,58.399993896484375,49.285000038146975,AVVAKTA
AAK.ST,279.79998779296875,45.76270748095236,282.9999969482422,AVVAKTA
BILL.ST,104.5,24.223578349187633,111.4150001525879,AVVAKTA
DUST.ST,3.888000011444092,45.64797788289602,3.951400029659271,AVVAKTA
FING-B.ST,0.012400000356137753,52.17392888828061,0.01247999994084239,AVVAKTA
MIDS.ST,0.7049999833106995,51.06381629591302,0.7186499983072281,AVVAKTA
NGS.ST,3.069999933242798,37.49999254942562,3.1300000071525576,AVVAKTA
ORX.ST,14.619999885559082,48.48484235470913,15.074000024795533,AVVAKTA
SDIP-B.ST,185.60000610351562,36.79775232739555,196.1050003051758,AVVAKTA
SOBI.ST,284.6000061035156,54.78259254271291,291.0,AVVAKTA
STIL.ST,233.0,47.61904761904762,239.55,AVVAKTA
VICO.ST,7.230000019073486,49.206343199326874,7.395500016212464,AVVAKTA
WNT.ST,0.5680000185966492,38.47926297343549,0.640899994969368,AVVAKTA
BMAX.ST,51.0,58.47783304637356,50.793500137329104,AVVAKTA
CLAS-B.ST,236.8000030517578,73.60407231582755,230.78000030517578,AVVAKTA
DUNI.ST,99.4000015258789,51.020431995204376,100.80499992370605,AVVAKTA
ELON.ST,23.700000762939453,47.56097759539594,24.220000171661376,AVVAKTA
CATE.ST,434.0,65.11627906976744,422.675,AVVAKTA
EQT.ST,310.0,52.08013384481262,314.05,AVVAKTA
HANZA.ST,72.75,35.63023960157871,79.72499961853028,AVVAKTA
HUM.ST,43.75,48.54772362207068,44.702499580383304,AVVAKTA
LINC.ST,67.0,31.929819207442435,70.53500099182129,AVVAKTA
LUMI.ST,81.94999694824219,42.6759171205519,87.81050758361816,AVVAKTA
MANG.ST,1790.0,100.0,1650.5,AVVAKTA
NAXS.ST,58.0,82.92682019108831,55.46999988555908,AVVAKTA
NICA.ST,1.3200000524520874,22.41380656941658,1.5974999964237213,AVVAKTA
NMAN.ST,212.0,36.48648648648649,216.775,AVVAKTA
ODIN.ST,0.4699999988079071,14.330819613733723,0.8337250903248787,AVVAKTA
PROF-B.ST,121.5,67.56756756756758,115.9,AVVAKTA
DIOS.ST,66.8499984741211,59.80858624095881,66.49500007629395,AVVAKTA
K2A-B.ST,6.260000228881836,51.04167727338767,6.3019999980926515,AVVAKTA
KFAST-B.ST,12.600000381469727,36.718764842951096,13.425000047683715,AVVAKTA
NP3.ST,236.0,60.56338028169014,233.775,AVVAKTA
PLAZ-B.ST,74.9000015258789,56.523535942045434,74.42265357971192,AVVAKTA
SBB-B.ST,3.4110000133514404,49.442381441481956,3.531350016593933,AVVAKTA
WIHL.ST,98.44999694824219,62.3616221618502,96.1625,AVVAKTA
WALL-B.ST,43.29999923706055,58.76289673371231,43.12199954986572,AVVAKTA
NYF.ST,87.75,65.76921564588363,85.5050006866455,AVVAKTA
ALIG.ST,136.39999389648438,59.60262491486407,137.36999969482423,AVVAKTA
ANOT.ST,0.04800000041723251,53.87453869466252,0.048599999770522116,AVVAKTA
AXIC-A.ST,1.159999966621399,47.61904978157451,1.2484999895095825,AVVAKTA
B3.ST,60.79999923706055,48.27585450911724,62.214999771118165,AVVAKTA
CLAV.ST,3.9200000762939453,53.33333560398631,3.64099999666214,AVVAKTA
