symbol,macd,signal,histogram,close,sma50,trade_signal,prev
VOLV-A.ST,-6.062779350179142,-2.9911899201139343,-3.0715894300652073,291.20001220703125,316.1440002441406,SÄLJ,"{'macd': -6.062779350179142, 'signal': -2.9911899201139343}"
ATCO-B.ST,-4.4054035144705495,-3.318885628375707,-1.0865178860948426,141.6999969482422,158.93999908447265,SÄLJ,"{'macd': -4.4054035144705495, 'signal': -3.318885628375707}"
SCA-B.ST,-3.730985525013068,-2.968086395137867,-0.7628991298752013,133.5500030517578,145.7529995727539,SÄLJ,"{'macd': -3.730985525013068, 'signal': -2.968086395137867}"
ASSA-B.ST,-8.030838381972217,-6.806586133922675,-1.2242522480495417,298.29998779296875,324.53200073242186,SÄLJ,"{'macd': -8.030838381972217, 'signal': -6.806586133922675}"
NCC-B.ST,0.9515375505193333,1.6014055548211952,-0.6498680043018619,192.5,189.44600006103516,SÄLJ,"{'macd': 0.9515375505193333, 'signal': 1.6014055548211952}"
PEAB-B.ST,-0.7332171965586269,-0.5643888858358863,-0.16882831072274063,78.0999984741211,80.51400024414062,SÄLJ,"{'macd': -0.7332171965586269, 'signal': -0.5643888858358863}"
LUMI.ST,-1.420928799500814,-0.7017645337978164,-0.7191642657029975,82.4000015258789,89.54749282836914,SÄLJ,"{'macd': -1.420928799500814, 'signal': -0.7017645337978164}"
EPI-B.ST,-1.764690886369749,-0.5713935315668516,-1.1932973548028976,175.6999969482422,186.56200012207032,SÄLJ,"{'macd': -1.764690886369749, 'signal': -0.5713935315668516}"
BEIJ-B.ST,-4.908589363703783,-3.788830560852451,-1.1197588028513317,144.3000030517578,160.86600036621093,SÄLJ,"{'macd': -4.908589363703783, 'signal': -3.788830560852451}"
INDU-C.ST,-5.860001918335001,-3.5173981997750863,-2.342603718559915,369.20001220703125,392.1600024414063,SÄLJ,"{'macd': -5.860001918335001, 'signal': -3.5173981997750863}"
HOLM-B.ST,-6.201638751811743,-3.6568272984071717,-2.544811453404571,393.6000061035156,410.36074096679687,SÄLJ,"{'macd': -6.201638751811743, 'signal': -3.6568272984071717}"
SKF-A.ST,-5.817827617869767,-2.8567443503659753,-2.961083267503792,203.0,225.04,SÄLJ,"{'macd': -5.817827617869767, 'signal': -2.8567443503659753}"
SSAB-B.ST,0.4927515766864303,1.7525896153028466,-1.2598380386164163,63.060001373291016,61.22080032348633,SÄLJ,"{'macd': 0.4927515766864303, 'signal': 1.7525896153028466}"
BURE.ST,-9.770480946173166,-10.704763640424039,0.9342826942508733,327.3999938964844,368.0320001220703,AVVAKTA,"{'macd': -9.770480946173166, 'signal': -10.704763640424039}"
LATO-B.ST,-3.7061793716252964,-2.2063240205712162,-1.4998553510540802,275.5,289.53399963378905,SÄLJ,"{'macd': -3.7061793716252964, 'signal': -2.2063240205712162}"
RATO-B.ST,-0.3882618088512686,-0.1691437437620883,-0.2191180650891803,32.86000061035156,34.37182754516601,SÄLJ,"{'macd': -0.3882618088512686, 'signal': -0.1691437437620883}"
SAAB-B.ST,23.642447193233807,27.777001906543997,-4.134554713310191,403.75,313.1390005493164,SÄLJ,"{'macd': 23.642447193233807, 'signal': 27.777001906543997}"
SECU-B.ST,-1.9709961408823915,-1.3889062012454723,-0.5820899396369192,142.0500030517578,148.43799926757814,SÄLJ,"{'macd': -1.9709961408823915, 'signal': -1.3889062012454723}"
TREL-B.ST,-9.500406971337839,-5.318660764248974,-4.181746207088865,367.0,411.4759967041016,SÄLJ,"{'macd': -9.500406971337839, 'signal': -5.318660764248974}"
NIBE-B.ST,-1.0361096375620917,-0.3711013824275855,-0.6650082551345062,37.310001373291016,42.72480003356934,SÄLJ,"{'macd': -1.0361096375620917, 'signal': -0.3711013824275855}"
HUSQ-B.ST,-2.0505845961878606,-1.5648255342967323,-0.4857590618911283,47.81999969482422,54.98059997558594,SÄLJ,"{'macd': -2.0505845961878606, 'signal': -1.5648255342967323}"
MTRS.ST,-9.802081972337632,-8.753004733123749,-1.049077239213883,104.0999984741211,142.65599975585937,SÄLJ,"{'macd': -9.802081972337632, 'signal': -8.753004733123749}"
VBG-B.ST,-7.939874635123942,-6.085787086213246,-1.8540875489106963,283.0,314.88,SÄLJ,"{'macd': -7.939874635123942, 'signal': -6.085787086213246}"
OEM-B.ST,2.6085285287034026,3.106585978396456,-0.4980574496930532,143.1999969482422,130.49599960327149,SÄLJ,"{'macd': 2.6085285287034026, 'signal': 3.106585978396456}"
BETS-B.ST,-0.44511068650334096,-0.043172579064056665,-0.40193810743928426,155.89999389648438,157.7639993286133,SÄLJ,"{'macd': -0.44511068650334096, 'signal': -0.043172579064056665}"
KINV-A.ST,-2.7467680100623966,-2.638626528811658,-0.10814148125073864,73.5199966430664,84.04460006713867,SÄLJ,"{'macd': -2.7467680100623966, 'signal': -2.638626528811658}"
LAGR-B.ST,-2.372328104393148,-1.3176687798857472,-1.0546593245074007,210.8000030517578,224.25600006103517,SÄLJ,"{'macd': -2.372328104393148, 'signal': -1.3176687798857472}"
INWI.ST,0.10039789093033846,0.9615782691947142,-0.8611803782643758,202.39999389648438,204.76799926757812,SÄLJ,"{'macd': 0.10039789093033846, 'signal': 0.9615782691947142}"
EWRK.ST,-2.1412546084029316,-2.0036130682919886,-0.13764154011094298,139.0,144.02,SÄLJ,"{'macd': -2.1412546084029316, 'signal': -2.0036130682919886}"
FMM-B.ST,0.29783379074466865,0.1184395770399218,0.17939421370474684,50.79999923706055,48.78200019836426,KÖP,"{'macd': 0.29783379074466865, 'signal': 0.1184395770399218}"
